signal_date,net_return,ending_nav,specification,group
20160429,0.0187804536220879,2.1294036958307463,R2_roe_shrinkage,5
20160429,-0.0073615141084466,2.261399197071539,R2_roe_shrinkage,6
20160429,0.0136371902109837,2.3887142815674283,R2_roe_shrinkage,7
20160429,0.0061181092086941,2.806700173970079,R2_roe_shrinkage,8
20160429,0.0108618667679836,3.041831796608061,R2_roe_shrinkage,9
20160429,0.0005397408752103,3.4357831175124356,R2_roe_shrinkage,10
20160531,0.0556837466711743,1.4154269715281715,R2_roe_shrinkage,1
20160531,0.0406928549713356,2.0961283501709347,R2_roe_shrinkage,2
20160531,0.0545536776893691,1.6408743537714718,R2_roe_shrinkage,3
20160531,0.0422284930498522,2.029049938726683,R2_roe_shrinkage,4
20160531,0.0601622192021313,2.2575133477491445,R2_roe_shrinkage,5
20160531,0.0648925731682439,2.408147209930112,R2_roe_shrinkage,6
20160531,0.0514307646746587,2.511567683657719,R2_roe_shrinkage,7
20160531,0.0743033184463859,3.0152473107801048,R2_roe_shrinkage,8
20160531,0.0762350034976639,3.273725854261782,R2_roe_shrinkage,9
20160531,0.065915479573164,3.662254409412648,R2_roe_shrinkage,10
20160630,-0.025867700748255,1.3788131301976718,R2_roe_shrinkage,1
20160630,-0.0372375029396873,2.0180737645694826,R2_roe_shrinkage,2
20160630,-0.0132786121598958,1.6190858196246207,R2_roe_shrinkage,3
20160630,-0.0214788628478244,1.985468253381386,R2_roe_shrinkage,4
20160630,-0.0100771583871164,2.234764028182847,R2_roe_shrinkage,5
20160630,-0.0183109165196209,2.3640518274021236,R2_roe_shrinkage,6
20160630,-0.0113311444042304,2.483108747553195,R2_roe_shrinkage,7
20160630,-0.0066091287244308,2.995319153167165,R2_roe_shrinkage,8
20160630,0.0227651251428386,3.348252633017398,R2_roe_shrinkage,9
20160630,-0.0162804116597378,3.60263140002472,R2_roe_shrinkage,10
20160729,0.0436333136659372,1.4389753159942995,R2_roe_shrinkage,1
20160729,0.0472942735616621,2.113517097258645,R2_roe_shrinkage,2
20160729,0.0323078970565795,1.6713950776108206,R2_roe_shrinkage,3
20160729,0.0444222769982569,2.0736672741043396,R2_roe_shrinkage,4
20160729,0.0367049673400123,2.316790968849933,R2_roe_shrinkage,5
20160729,0.0384219226230742,2.454883243791505,R2_roe_shrinkage,6
20160729,0.0412534975771468,2.5855456682541726,R2_roe_shrinkage,7
20160729,0.0460176422557359,3.133156678399365,R2_roe_shrinkage,8
20160729,0.055367879246158,3.533638280487936,R2_roe_shrinkage,9
20160729,0.051105554268007,3.78674587454631,R2_roe_shrinkage,10
20160831,-0.0178338304768058,1.413312874148549,R2_roe_shrinkage,1
20160831,-0.0141540312218561,2.0836023102761194,R2_roe_shrinkage,2
20160831,-0.0081704155236633,1.6577390853225349,R2_roe_shrinkage,3
20160831,-0.0098502272616406,2.053241180189385,R2_roe_shrinkage,4
20160831,-0.010546836745012,2.2923561527291545,R2_roe_shrinkage,5
20160831,-0.003459752310749,2.446389955816178,R2_roe_shrinkage,6
20160831,-0.0066892793239101,2.5682502310744946,R2_roe_shrinkage,7
20160831,-0.0036773124055555,3.121635082477338,R2_roe_shrinkage,8
20160831,-0.0050190689476274,3.515902706322191,R2_roe_shrinkage,9
20160831,-0.0019497101912295,3.7793628175231104,R2_roe_shrinkage,10
20160930,0.0060773635251603,1.421902090259539,R2_roe_shrinkage,1
20160930,0.0268644896724621,2.1395772230220507,R2_roe_shrinkage,2
20160930,0.0232449756269763,1.6962731899567431,R2_roe_shrinkage,3
20160930,0.0175066041752156,2.0891864608072135,R2_roe_shrinkage,4
20160930,0.0191955510767056,2.336359192344867,R2_roe_shrinkage,5
20160930,0.0226025848303901,2.501684692320727,R2_roe_shrinkage,6
20160930,0.0222132529885363,2.6252994231952194,R2_roe_shrinkage,7
20160930,0.033067639166473,3.224860184994102,R2_roe_shrinkage,8
20160930,0.0320884222608643,3.6287224769907738,R2_roe_shrinkage,9
20160930,0.0325082869632356,3.902223428533334,R2_roe_shrinkage,10
20161031,0.0421589063033374,1.4818479272553104,R2_roe_shrinkage,1
20161031,0.0332976970072631,2.210820217117881,R2_roe_shrinkage,2
20161031,0.0046872031975717,1.7042239670766637,R2_roe_shrinkage,3
20161031,0.0327466177539643,2.157600251256025,R2_roe_shrinkage,4
20161031,0.0207445796814766,2.384825981775016,R2_roe_shrinkage,5
20161031,0.0192042160321774,2.549727585596446,R2_roe_shrinkage,6
20161031,0.0117281622308618,2.656089360735041,R2_roe_shrinkage,7
20161031,0.0280941382947303,3.315459853012496,R2_roe_shrinkage,8
20161031,0.0248772108535126,3.718994971179754,R2_roe_shrinkage,9
20161031,0.020362372960887,3.981681957361841,R2_roe_shrinkage,10
20161130,-0.0636827383409404,1.3874797934428456,R2_roe_shrinkage,1
20161130,-0.0511913501994247,2.097645345155431,R2_roe_shrinkage,2
20161130,-0.0659949688237605,1.5917537595007338,R2_roe_shrinkage,3
20161130,-0.0581903320589112,2.0320487761850465,R2_roe_shrinkage,4
20161130,-0.0637206869526216,2.2328632319538517,R2_roe_shrinkage,5
20161130,-0.062566937296399,2.390198939625534,R2_roe_shrinkage,6
20161130,-0.0616801705110116,2.49226131607242,R2_roe_shrinkage,7
20161130,-0.0554352669474287,3.131666451007266,R2_roe_shrinkage,8
20161130,-0.0567150339019485,3.508072045308118,R2_roe_shrinkage,9
20161130,-0.0640697990798154,3.7265763943539416,R2_roe_shrinkage,10
20161230,-0.0362839522819198,1.3371365428254374,R2_roe_shrinkage,1
20161230,-0.0299431022966495,2.034835336003351,R2_roe_shrinkage,2
20161230,-0.0172320802329941,1.5643245310058471,R2_roe_shrinkage,3
20161230,-0.0310212223234418,1.969012139326932,R2_roe_shrinkage,4
20161230,-0.0246711784618054,2.1777758646775145,R2_roe_shrinkage,5
20161230,-0.0336296493164728,2.309817387489322,R2_roe_shrinkage,6
20161230,-0.0234654880310787,2.433779187989802,R2_roe_shrinkage,7
20161230,-0.0159108797469119,3.0818388826978502,R2_roe_shrinkage,8
20161230,-0.0197346781034577,3.4388413727302236,R2_roe_shrinkage,9
20161230,-0.0247838599293158,3.6342174469803785,R2_roe_shrinkage,10
20170126,0.0367074691346962,1.3862194412000766,R2_roe_shrinkage,1
20170126,0.0295331072182354,2.094930346152992,R2_roe_shrinkage,2
20170126,0.0155201778167408,1.5886031258901476,R2_roe_shrinkage,3
20170126,0.0414366341608101,2.050601375002417,R2_roe_shrinkage,4
20170126,0.035800185865771,2.2557406454069597,R2_roe_shrinkage,5
20170126,0.0340976214098223,2.388576666293758,R2_roe_shrinkage,6
20170126,0.0481667186921883,2.551006345496609,R2_roe_shrinkage,7
20170126,0.0386075242170538,3.200821051994666,R2_roe_shrinkage,8
20170126,0.0390888278248142,3.5732616510657236,R2_roe_shrinkage,9
20170126,0.0344224339153929,3.759316056883229,R2_roe_shrinkage,10
20170228,-0.0102003805400717,1.37207947538779,R2_roe_shrinkage,1
20170228,-0.0074286731487851,2.0793677933419503,R2_roe_shrinkage,2
20170228,-0.0189380893394589,1.5585180179670963,R2_roe_shrinkage,3
20170228,-0.0011021080306163,2.0483413907594334,R2_roe_shrinkage,4
20170228,-0.0158750637708706,2.2199306188105794,R2_roe_shrinkage,5
20170228,-0.0072638736424259,2.371226347204553,R2_roe_shrinkage,6
20170228,-0.0039969235443282,2.540810168172563,R2_roe_shrinkage,7
20170228,-0.0054159204782042,3.1834856597121006,R2_roe_shrinkage,8
20170228,-0.0015718655042654,3.5676449643386987,R2_roe_shrinkage,9
20170228,-0.0060806220857821,3.736457076640309,R2_roe_shrinkage,10
20170331,-0.0481658201569651,1.3059921421351988,R2_roe_shrinkage,1
20170331,-0.0428180794251289,1.9903332580125797,R2_roe_shrinkage,2
20170331,-0.0599982751742128,1.4650096250611375,R2_roe_shrinkage,3
20170331,-0.0540709089735019,1.9375857098730236,R2_roe_shrinkage,4
20170331,-0.0529461324184652,2.102393878307229,R2_roe_shrinkage,5
20170331,-0.0459860079789189,2.2621831134821817,R2_roe_shrinkage,6
20170331,-0.0509709891846957,2.4113025605702743,R2_roe_shrinkage,7
20170331,-0.036897398711481,3.066023320033421,R2_roe_shrinkage,8
20170331,-0.0510838442984158,3.385395944468393,R2_roe_shrinkage,9
20170331,-0.0442437029105658,3.5711423798033537,R2_roe_shrinkage,10
20170428,-0.083059768265896,1.197516737452368,R2_roe_shrinkage,1
20170428,-0.0708674404795319,1.84928343431594,R2_roe_shrinkage,2
20170428,-0.079752900754065,1.3481708578298868,R2_roe_shrinkage,3
20170428,-0.0703246525763371,1.8013256679893277,R2_roe_shrinkage,4
